date,FTTC,WIRELESS,FTTN,HFC,SATELLITE,NULL,FTTP,FTTB
2023-05-23,0,0,0,0,0,0,0,0
2023-05-30,0,0,0,0,0,0,0,0
2023-06-06,0,0,0,0,0,0,0,0
2023-06-13,0,0,0,0,0,0,0,0
2023-06-20,0,0,0,0,0,0,0,0
2023-06-27,0,0,0,0,0,0,0,0
2023-07-04,0,0,0,0,0,0,0,0
2023-07-11,0,0,0,0,1937,1,0,0
2023-07-18,0,0,0,0,1937,1,0,0
2023-07-25,0,0,0,0,1937,1,0,0
2023-08-01,0,0,0,0,1937,1,0,0
2023-08-08,0,0,0,0,1937,1,0,0
2023-08-15,0,0,0,0,1990,1,0,0
2023-08-22,0,0,0,0,1990,1,0,0
2023-08-29,0,0,0,0,1990,1,0,0
2023-09-05,0,0,0,0,1991,1,0,0
2023-09-12,0,0,0,0,1991,1,0,0
2023-09-19,0,0,0,0,1991,1,0,0
2023-09-26,0,0,0,0,2102,1,0,0
2023-10-03,0,0,0,0,2102,1,0,0
2023-10-10,0,0,0,0,2102,1,0,0
2023-10-17,0,0,0,0,2103,1,0,0
2023-10-24,0,0,0,0,2103,1,0,0
2023-10-31,0,0,0,0,2105,1,0,0
2023-11-07,0,0,0,0,2105,1,0,0
2023-11-14,0,0,0,0,2105,1,0,0
2023-11-21,0,0,0,0,2107,1,0,0
2023-11-28,0,0,0,0,2107,1,0,0
2023-12-05,0,0,0,0,2107,1,0,0
2023-12-12,0,0,0,0,2108,1,0,0
2023-12-19,0,0,0,0,2108,1,0,0
2023-12-26,0,0,0,0,2108,1,0,0
2024-01-02,0,0,0,0,2108,1,0,0
2024-01-09,0,0,0,0,2108,1,0,0
2024-01-16,0,0,0,0,2108,1,0,0
2024-01-23,0,0,0,0,2108,1,0,0
2024-01-30,0,0,0,0,2112,1,0,0
2024-02-06,0,0,0,0,2112,1,0,0
2024-02-13,0,0,0,0,2112,1,0,0
2024-02-20,0,0,0,0,2112,1,0,0
2024-02-27,0,0,0,0,2112,1,0,0
2024-03-05,0,0,0,0,2112,1,0,0
2024-03-12,0,0,0,0,1931,1,0,0
2024-03-19,0,0,0,0,1931,1,0,0
2024-03-26,0,0,0,0,1931,1,0,0
2024-04-02,0,0,0,0,1930,1,0,0
2024-04-16,0,0,0,0,1930,1,0,0
2024-04-30,0,0,0,0,1935,1,0,0
2024-05-07,0,0,0,0,1935,1,0,0
2024-05-14,0,0,0,0,1937,1,0,0
2024-05-20,0,0,0,0,1937,1,0,0
2024-05-21,0,0,0,0,1937,1,0,0
2024-05-28,0,0,0,0,1937,1,0,0
2024-06-04,0,0,0,0,1937,1,0,0
2024-06-11,0,0,0,0,1937,1,0,0
2024-06-18,0,0,0,0,1937,1,0,0
